Amalia Pechner
Josef Bornstein
Rudolf Better
Josef Bachner
Oskar Goldberg
Emanuel Vogel
Šimon Littner
Leo Linder
Leo Krieger
Heinrich Hutterer
David Hornung
Isidor Hornung
Josef Mehl
Mariia Gel'Yer
Josef Gruber
Natan Tellerman
Perla Scheiwikster
Gusti Klapholc
Joseph Matzner
Ela Schreter
Chaim Pelcman
Gustaw Pelcman
Wilhelm Pelcman
Awigdor Fisz
Sara Ferber
Dora Kohn
Iwan Kosetsch
Iwan Krikunow
Wassil Korobkin
Josef Kowaltschik
Bronislaw Witryk
Iwan Witwitski
Iwan Kornienko
Wasil Kosak
Konstantin Krasnizkij
Petro Kornjtschuk
Johann Korath
Vinsent Kozula
Michail Kowal
Jan Korzeniak
Daitro Kowalewakij
Petro Kowaltschuk
Max Krebs
Andrej Kolodnij
Michael Kolesnik
Wasilij Kowalewakij
Alexaj Kozakow
August Kremer
Vladislaus Kosiba
Vladimir Kotlarenko
Kazimirs Wosiak
Andrej Witrenko
Jakob Zavasnik
Julius Ziegelmann
Stanislaw Koscielay
Michal Kotas
Petro Kowaltschuk
Viktor Kranals
Thomas Krawcsyk
Johann Koncan
Zygaunt Kowalski
Pawlo Kowaltschuk
Andreas Kralj
Anton Zimmermann
Wasilij Komarew
Alexander Konenko
Johann Kosiba
Aleksander Kozak
Alekaij Konoplow
Jesip Koropkow
Iwan Krepesnej
Nikolaj Kramerenko
Iwan Zabiega
Zdenek Zapletal
Boris Zemenko
Nikolaj Kramerenko
Boris Krawtschenko
Alex Krewartutschka
Alexander Ziba
Stefan Zycinski
Josef Zaja
Stanislaus Zawlocki
Franz Zaworski
Josef Krajak
Sisgmund Zeletaki
Karl Zeh
Stepan Kolnogorzew
Iwan Krawtschenko
Josef Witkowski
Leonid Zbutevic
Bogdan Zegadlo
Feodor Zokurow
Michajlo Zylowyj
Pawlo Koljadenko
Josef Komat
Karol Kozielski
Wassil Zachartschuk
Alfred Zimmermann
Michail Kolodnitski
Nikifr Kosjentschuk
Iwan Kossenko
Iwan Kowalew
Johann Wroblewaki
Iwan Kortschak
Iwan Kowal
Vladimir Kosinjuk
Iwan Kozubo
Friedrich Wilhelm Kreiser
Iwan Wizer
Andrej Kotscherga
Heinz Wustig
Stanislaus Zawardzski
Stanislaw Zukowski
Franz Kowalczyk
Wassil Kowelnko
Frans Zaletel
Gregorij Zawalnjuk
Timofej Krawsow
Iwan Zawko
Jaroalov Zachar
Nikola Wiwlokin
Scyja Zaks
Isailij Nikitin
Alexander Nikolajenko
Franz Nowotny
Frans Olischowski
Iwan Orel
Piotr Nikolajew
Maxim Kowik
Oc
Grigori Ostrow
Vasil Zebriz
Ignat Osstapjenko
Frans Pachura
Jan Olejaech
Josef Pachler
Iwan Pas
Pawel Ossipew
Georg Nushardt
O
Frans Ostrowski
Wilhelm Pahike
Otto Pabst
Iwan Nikolenko
Johann Pajak
Viktor Orlow
Anatolij Pantschenko
Alois Paus
Fedor Odolinski
Adolf Ostrowskij
Vladimir Nikolajew
Nikolaj Nikolenko
Feodar Krawtschenko
Rudolf Nobis
Ludwig Osinski
Johann Panak
Michael Odor…
Arkadij Pachentschik
Zbyhnew Paprocki
Wassil Olijnek
Gregor Nusnyi
Petro Orlik
Johann Nowak
Max Obstfeldar
Zygaund Pawlak
Alfred Olschewsky
Wassil Ostrouschko
Petr Pankow
Nikolaj Oskol…
Wassil Paljamar
Tadeous Olah…
Paul Onischenko
Ilias Papadopulos
Petro Kotik
Vladyslaw Zmelonet
Alois Novacek
Shlomo Zehngut
Reisel Friedmann
Fernand Finder
Dora Neufeld
Josef Matzner
Albina Heimanowa
Zygfried Smiodek
Armin Szimerling
Armin Schimmerling
Helene Friedmannowa
Zygfryd Szmiodek
Ignac Szimerling
Rozalia Friedmannowa
Anton Glatz
Ernest Sznyogh
Ladislaus Bednarski
